Location name,Lat (GDA94),Long (GDA94),Survey date,Depth (m),Chlorophyll a (ug/L),Secchi depth (metres),Total N (mg/L),Ammonia (mg/L),Organic N (mg/L),NOx (mg/L),DO (mg/L),DO saturation (%),pH (Unit),Pheopigments (ug/L),FRP (mg/L),Total P (mg/L),Salinity (g/L),Conductivity (mS/cm),Temp (deg C),Turbidity (NTU)
NORTH PINE RIVER 5.5km FROM MOUTH 100m U/S OF DEEPWATER BEND (EHMP) SITE 802,-27.298117,153.035287,2004-02-20,0.2,4.9,1.3,0.3,0.01,0.288,< 0.002,5.9,93.7,8.05,1.3,0.059,0.092,32.4,49.5,30.41,8.0
NTH PINE RIVER 7.2km FROM MOUTH JCN WITH STH PINE RIVER (EHMP 803),-27.286379,153.014881,2004-02-20,0.2,17.8,0.9,0.49,0.011,0.477,< 0.002,6.7,103.9,7.89,4.7,0.13,0.18,25.1,39.4,31.2,11.0
NTH PINE RIVER 10.5km from mouth above Junction Yebri Creek (EHMP 804),-27.268849,152.991863,2004-02-20,0.2,10,0.8,0.63,0.038,0.516,0.076,6.1,92.5,7.76,24.3,0.18,0.24,23.0,36.4,31.09,11.0
HAYS INLET HORNIBROOK HIGHWAY BRIDGE (EHMP) SITE 900,-27.264333,153.079957,2004-02-20,0.2,2.9,1.1,0.2,0.002,0.196,< 0.002,5.9,93.7,8.17,0.6,0.035,0.055,33.2,50.6,29.72,6.0
MORETON BAY GRID REFERENCE 080820 (088200) (EHMP) SITE 916,-27.27839,153.087709,2004-02-20,0.2,1.3,1.3,0.18,< 0.002,0.176,< 0.002,6.0,94.4,8.17,1.1,0.029,0.044,33.6,51.2,29.49,3.0
MORETON BAY GRID REFERENCE 100790 (105795) (107900) (EHMP) SITE 919,-27.306723,153.106036,2004-02-20,0.2,1.8,1.4,0.16,< 0.002,0.156,< 0.002,5.9,93.7,8.15,0.2,0.024,0.038,33.9,51.6,29.76,3.0
NORTH PINE RIVER GRID REF 062823 AT HORNIBROOK HY BR (00-030) (EHMP 800),-27.27751,153.063226,2004-03-22,0.2,8.2,0.7,0.39,0.033,0.047,0.31,6.4,92.4,8.17,3.1,0.044,0.1,32.0,49.0,24.71,33.0
NORTH PINE RIVER 2.4km FROM MOUTH AT DOHLES ROCKS (EHMP 801),-27.279375,153.040314,2004-03-22,0.2,8.7,0.75,0.39,0.014,0.322,0.054,6.4,90.6,8.14,6.7,0.05,0.1,30.7,47.2,24.2,25.0
NORTH PINE RIVER 5.5km FROM MOUTH 100m U/S OF DEEPWATER BEND (EHMP) SITE 802,-27.298117,153.035287,2004-03-22,0.2,11.9,0.85,0.53,0.05,0.454,0.026,6.0,82.7,7.94,5.9,0.081,0.13,23.1,36.5,24.94,11.0
NTH PINE RIVER 7.2km FROM MOUTH JCN WITH STH PINE RIVER (EHMP 803),-27.286379,153.014881,2004-03-22,0.2,9,0.9,0.61,0.093,0.465,0.052,5.5,75.4,7.72,4.6,0.11,0.15,18.7,30.2,25.6,8.0
NTH PINE RIVER 10.5km from mouth above Junction Yebri Creek (EHMP 804),-27.268849,152.991863,2004-03-22,0.2,15.6,1.1,0.74,0.11,0.51,0.12,5.8,77.8,7.52,6.6,0.18,0.24,14.1,23.4,26.09,8.0
HAYS INLET HORNIBROOK HIGHWAY BRIDGE (EHMP) SITE 900,-27.264333,153.079957,2004-03-26,0.2,4.8,1.1,0.34,0.006,0.332,< 0.002,7.1,98.8,8.17,3,0.038,0.077,31.1,47.7,23.07,7.0
MORETON BAY GRID REFERENCE 080820 (088200) (EHMP) SITE 916,-27.27839,153.087709,2004-03-26,0.2,3.3,1,0.27,< 0.002,0.266,< 0.002,7.6,107.3,8.23,1.2,0.035,0.066,32.4,49.5,23.34,7.0
MORETON BAY GRID REFERENCE 100790 (105795) (107900) (EHMP) SITE 919,-27.306723,153.106036,2004-03-26,0.2,2.3,1.5,0.21,< 0.002,0.206,< 0.002,7.9,113.2,8.23,0.8,0.018,0.04,34.0,51.7,23.72,6.0
NORTH PINE RIVER GRID REF 062823 AT HORNIBROOK HY BR (00-030) (EHMP 800),-27.27751,153.063226,2004-04-21,0.2,2.3,1.7,0.22,0.004,0.214,< 0.002,7.0,102.1,8.1,0.3,0.039,0.06,33.4,50.8,24.77,5.0
NORTH PINE RIVER 2.4km FROM MOUTH AT DOHLES ROCKS (EHMP 801),-27.279375,153.040314,2004-04-21,0.2,4.6,1,0.26,0.003,0.255,< 0.002,7.2,104.4,8.09,1.3,0.055,0.085,31.9,48.8,25.14,7.0
NORTH PINE RIVER 5.5km FROM MOUTH 100m U/S OF DEEPWATER BEND (EHMP) SITE 802,-27.298117,153.035287,2004-04-21,0.2,12.8,0.8,0.36,0.005,0.353,< 0.002,7.2,102.5,8.01,2.2,0.083,0.13,29.7,45.8,24.37,11.0
NTH PINE RIVER 7.2km FROM MOUTH JCN WITH STH PINE RIVER (EHMP 803),-27.286379,153.014881,2004-04-21,0.2,20.2,0.7,0.5,0.007,0.491,< 0.002,10.2,143.8,7.84,24.2,0.13,0.2,25.6,40.0,25.41,10.0
NTH PINE RIVER 10.5km from mouth above Junction Yebri Creek (EHMP 804),-27.268849,152.991863,2004-04-21,0.2,13.5,0.8,0.67,0.12,0.43,0.12,6.7,92.7,7.51,4,0.2,0.27,21.9,34.8,25.56,12.0
HAYS INLET HORNIBROOK HIGHWAY BRIDGE (EHMP) SITE 900,-27.264333,153.079957,2004-04-21,0.2,3.7,1.2,0.25,0.003,0.245,< 0.002,7.6,110.6,8.17,1.6,0.036,0.062,32.6,49.8,25.16,6.0
MORETON BAY GRID REFERENCE 080820 (088200) (EHMP) SITE 916,-27.27839,153.087709,2004-04-21,0.2,1.1,1.1,0.19,0.002,0.186,< 0.002,6.9,102.2,8.17,1.1,0.037,0.051,33.2,50.6,25.51,5.0
MORETON BAY GRID REFERENCE 100790 (105795) (107900) (EHMP) SITE 919,-27.306723,153.106036,2004-04-21,0.2,1.1,1.5,0.15,< 0.002,0.146,< 0.002,7.1,104.1,8.18,0.6,0.028,0.039,33.9,51.5,25.22,4.0
NORTH PINE RIVER GRID REF 062823 AT HORNIBROOK HY BR (00-030) (EHMP 800),-27.27751,153.063226,2004-05-20,0.2,1.3,2.2,0.2,< 0.002,0.196,< 0.002,7.5,99.3,8.07,0.8,0.04,0.055,33.6,51.2,19.53,4.0
NORTH PINE RIVER 2.4km FROM MOUTH AT DOHLES ROCKS (EHMP 801),-27.279375,153.040314,2004-05-20,0.2,1.7,1.8,0.21,< 0.002,0.206,< 0.002,7.5,99.4,8.04,2.4,0.049,0.068,32.8,50.0,19.7,6.0
NORTH PINE RIVER 5.5km FROM MOUTH 100m U/S OF DEEPWATER BEND (EHMP) SITE 802,-27.298117,153.035287,2004-05-20,0.2,6.9,1.3,0.3,0.003,0.295,< 0.002,8.0,105.0,8.01,1.5,0.072,0.11,30.5,46.9,20.05,9.0
NTH PINE RIVER 7.2km FROM MOUTH JCN WITH STH PINE RIVER (EHMP 803),-27.286379,153.014881,2004-05-20,0.2,14.8,1,0.45,0.003,0.443,0.004,9.2,121.7,8.02,2.4,0.11,0.17,28.1,43.5,20.8,8.0
NTH PINE RIVER 10.5km from mouth above Junction Yebri Creek (EHMP 804),-27.268849,152.991863,2004-05-20,0.2,8.3,1.1,0.67,0.15,0.39,0.13,6.4,82.4,7.52,3.1,0.21,0.27,24.7,38.9,20.84,9.0
HAYS INLET HORNIBROOK HIGHWAY BRIDGE (EHMP) SITE 900,-27.264333,153.079957,2004-05-20,0.2,3.7,1.2,0.28,0.002,0.266,0.012,8.2,110.3,8.1,4.3,0.044,0.069,33.8,51.5,19.93,8.0
MORETON BAY GRID REFERENCE 080820 (088200) (EHMP) SITE 916,-27.27839,153.087709,2004-05-20,0.2,1.2,1.8,0.17,0.002,0.166,< 0.002,7.7,103.5,8.1,1.2,0.035,0.048,34.3,52.1,20.15,6.0
MORETON BAY GRID REFERENCE 100790 (105795) (107900) (EHMP) SITE 919,-27.306723,153.106036,2004-05-20,0.2,1.2,2.6,0.14,0.004,0.134,< 0.002,7.5,102.1,8.11,0.4,0.023,0.032,34.7,52.6,20.15,3.0
NORTH PINE RIVER GRID REF 062823 AT HORNIBROOK HY BR (00-030) (EHMP 800),-27.27751,153.063226,2004-06-17,0.2,1,3.2,0.25,< 0.002,0.246,< 0.002,7.4,95.3,8.09,0.4,0.042,0.055,34.8,52.8,17.47,2.0
NORTH PINE RIVER 2.4km FROM MOUTH AT DOHLES ROCKS (EHMP 801),-27.279375,153.040314,2004-06-17,0.2,1.9,1.5,0.36,< 0.002,0.356,< 0.002,7.3,94.3,8.04,1.6,0.058,0.084,34.2,52.0,17.45,4.0
NORTH PINE RIVER 5.5km FROM MOUTH 100m U/S OF DEEPWATER BEND (EHMP) SITE 802,-27.298117,153.035287,2004-06-17,0.2,2.8,1,0.42,0.002,0.416,< 0.002,7.9,102.3,7.97,7.5,0.078,0.12,32.1,49.1,18.37,9.0
NTH PINE RIVER 7.2km FROM MOUTH JCN WITH STH PINE RIVER (EHMP 803),-27.286379,153.014881,2004-06-17,0.2,13.5,1,0.51,0.003,0.466,0.041,9.5,122.1,7.88,4,0.15,0.21,29.1,44.9,19.15,6.0
NTH PINE RIVER 10.5km from mouth above Junction Yebri Creek (EHMP 804),-27.268849,152.991863,2004-06-17,0.2,8,1.3,0.72,0.11,0.44,0.17,6.3,79.4,7.4,1.8,0.21,0.26,26.5,41.4,19.19,6.0
MORETON BAY GRID REFERENCE 100790 (105795) (107900) (EHMP) SITE 919,-27.306723,153.106036,2004-06-21,0.2,0.7,3.8,0.23,< 0.002,0.226,< 0.002,7.8,100.8,8.35,< 0.1,0.024,0.033,35.6,53.9,17.08,1.0
NORTH PINE RIVER GRID REF 062823 AT HORNIBROOK HY BR (00-030) (EHMP 800),-27.27751,153.063226,2004-07-15,0.2,0.7,4,0.26,0.004,0.252,0.004,7.5,97.3,8.22,0.3,0.05,0.069,36.1,54.5,17.12,1.0
NORTH PINE RIVER 2.4km FROM MOUTH AT DOHLES ROCKS (EHMP 801),-27.279375,153.040314,2004-07-15,0.2,0.9,2.8,0.32,0.013,0.297,0.01,7.4,96.3,8.14,0.5,0.064,0.095,35.4,53.6,17.57,2.0
NORTH PINE RIVER 5.5km FROM MOUTH 100m U/S OF DEEPWATER BEND (EHMP) SITE 802,-27.298117,153.035287,2004-07-15,0.2,1.1,2,0.46,0.071,0.35,0.039,7.2,92.2,7.96,1.2,0.11,0.13,33.6,51.2,17.79,3.0
NTH PINE RIVER 7.2km FROM MOUTH JCN WITH STH PINE RIVER (EHMP 803),-27.286379,153.014881,2004-07-15,0.2,3,2,0.74,0.24,0.426,0.074,6.8,86.6,7.7,1.5,0.2,0.24,31.2,47.9,17.71,3.0
NTH PINE RIVER 10.5km from mouth above Junction Yebri Creek (EHMP 804),-27.268849,152.991863,2004-07-15,0.2,2.1,1.5,0.94,0.41,0.43,0.1,4.9,63.2,7.41,1.6,0.29,0.35,32.7,49.9,18.28,4.0
NORTH PINE RIVER GRID REF 062823 AT HORNIBROOK HY BR (00-030) (EHMP 800),-27.27751,153.063226,2004-08-19,0.2,0.5,4.6,0.13,0.003,0.122,0.005,7.9,99.9,8.03,0.3,0.039,0.043,34.5,52.4,16.53,1.0
NORTH PINE RIVER 2.4km FROM MOUTH AT DOHLES ROCKS (EHMP 801),-27.279375,153.040314,2004-08-19,0.2,0.8,3.4,0.15,0.004,0.136,0.01,8.1,102.3,8.11,0.2,0.047,0.052,34.3,52.1,16.42,2.0
NORTH PINE RIVER 5.5km FROM MOUTH 100m U/S OF DEEPWATER BEND (EHMP) SITE 802,-27.298117,153.035287,2004-08-19,0.2,1.1,1.9,0.29,0.02,0.236,0.034,7.8,97.2,8.04,0.4,0.08,0.093,33.5,51.0,16.24,5.0
NTH PINE RIVER 7.2km FROM MOUTH JCN WITH STH PINE RIVER (EHMP 803),-27.286379,153.014881,2004-08-19,0.2,2.9,1.3,0.47,0.12,0.23,0.12,7.0,87.6,7.83,0.6,0.16,0.19,30.9,47.5,17.27,6.0
NTH PINE RIVER 10.5km from mouth above Junction Yebri Creek (EHMP 804),-27.268849,152.991863,2004-08-19,0.2,1.6,0.9,0.8,0.28,0.31,0.21,5.7,70.3,7.58,1.6,0.26,0.31,28.3,43.9,17.5,9.0
MORETON BAY GRID REFERENCE 100790 (105795) (107900) (EHMP) SITE 919,-27.306723,153.106036,2004-08-20,0.2,0.6,3.5,0.11,< 0.002,0.106,< 0.002,7.9,101.0,8.28,< 0.1,0.012,0.017,34.5,52.4,16.92,1.0
NORTH PINE RIVER GRID REF 062823 AT HORNIBROOK HY BR (00-030) (EHMP 800),-27.27751,153.063226,2004-09-15,0.2,1.2,2.3,0.08,< 0.002,0.076,< 0.002,7.5,101.0,8.18,1.1,0.039,0.051,35.9,54.2,19.38,2.0
NORTH PINE RIVER 2.4km FROM MOUTH AT DOHLES ROCKS (EHMP 801),-27.279375,153.040314,2004-09-15,0.2,2.1,1.6,0.27,< 0.002,0.253,0.015,7.5,100.7,8.14,0.8,0.053,0.072,35.6,53.8,19.48,4.0
NORTH PINE RIVER 5.5km FROM MOUTH 100m U/S OF DEEPWATER BEND (EHMP) SITE 802,-27.298117,153.035287,2004-09-15,0.2,3,1.4,0.33,0.004,0.271,0.055,7.3,97.4,8.08,2.1,0.082,0.11,34.8,52.7,19.51,5.0
NTH PINE RIVER 7.2km FROM MOUTH JCN WITH STH PINE RIVER (EHMP 803),-27.286379,153.014881,2004-09-15,0.2,9.9,1.1,0.58,0.003,0.397,0.18,8.1,109.4,7.93,1.6,0.2,0.26,31.9,48.9,20.93,8.0
NTH PINE RIVER 10.5km from mouth above Junction Yebri Creek (EHMP 804),-27.268849,152.991863,2004-09-15,0.2,5.7,1,1,0.15,0.56,0.29,6.3,84.1,7.63,3.6,0.36,0.42,29.2,45.2,20.97,9.0
MORETON BAY GRID REFERENCE 080820 (088200) (EHMP) SITE 916,-27.27839,153.087709,2004-09-15,0.2,0.9,2.4,0.19,< 0.002,0.186,< 0.002,7.9,107.0,8.09,1,0.032,0.045,36.5,55.0,19.75,2.0
MORETON BAY GRID REFERENCE 100790 (105795) (107900) (EHMP) SITE 919,-27.306723,153.106036,2004-09-15,0.2,0.9,2,0.16,< 0.002,0.156,< 0.002,7.6,103.1,8.11,0.2,0.015,0.026,36.4,55.0,19.86,3.0
NORTH PINE RIVER GRID REF 062823 AT HORNIBROOK HY BR (00-030) (EHMP 800),-27.27751,153.063226,2004-10-18,0.2,5.9,0.4,0.35,0.009,0.329,0.012,7.2,100.0,8.21,2.8,0.046,0.093,35.7,54.0,21.25,30.0
NORTH PINE RIVER 2.4km FROM MOUTH AT DOHLES ROCKS (EHMP 801),-27.279375,153.040314,2004-10-18,0.2,4.8,0.6,0.26,0.017,0.232,0.011,7.2,99.6,8.18,2.6,0.051,0.09,35.5,53.7,20.93,35.0
NORTH PINE RIVER 5.5km FROM MOUTH 100m U/S OF DEEPWATER BEND (EHMP) SITE 802,-27.298117,153.035287,2004-10-18,0.2,4,0.75,0.22,0.017,0.19,0.013,7.0,96.2,8.12,2.8,0.063,0.089,35.3,53.5,20.81,16.0
NTH PINE RIVER 7.2km FROM MOUTH JCN WITH STH PINE RIVER (EHMP 803),-27.286379,153.014881,2004-10-18,0.2,6.8,0.85,0.43,0.084,0.292,0.054,5.8,80.7,7.83,2.6,0.18,0.21,32.9,50.2,22.38,8.0
NTH PINE RIVER 10.5km from mouth above Junction Yebri Creek (EHMP 804),-27.268849,152.991863,2004-10-18,0.2,4.7,0.85,0.83,0.2,0.42,0.21,4.3,59.8,7.58,2.2,0.37,0.41,30.5,46.8,23.17,9.0
MORETON BAY GRID REFERENCE 080820 (088200) (EHMP) SITE 916,-27.27839,153.087709,2004-10-21,0.2,6.3,0.8,0.21,< 0.002,0.206,< 0.002,7.8,108.8,8.31,1.6,0.043,0.069,35.7,54.0,21.16,9.0
MORETON BAY GRID REFERENCE 100790 (105795) (107900) (EHMP) SITE 919,-27.306723,153.106036,2004-10-21,0.2,2.4,1.25,0.19,< 0.002,0.186,< 0.002,7.5,104.8,8.28,6.8,0.031,0.047,36.1,54.5,21.44,9.0
NORTH PINE RIVER GRID REF 062823 AT HORNIBROOK HY BR (00-030) (EHMP 800),-27.27751,153.063226,2004-11-12,0.2,6.8,0.8,0.27,< 0.002,0.266,< 0.002,7.6,111.6,8.51,0.2,0.04,0.076,33.3,50.8,25.32,4.0
NORTH PINE RIVER 2.4km FROM MOUTH AT DOHLES ROCKS (EHMP 801),-27.279375,153.040314,2004-11-12,0.2,6.9,0.75,0.33,< 0.002,0.326,< 0.002,7.7,112.5,8.57,1.7,0.048,0.088,31.8,48.7,25.64,6.0
NORTH PINE RIVER 5.5km FROM MOUTH 100m U/S OF DEEPWATER BEND (EHMP) SITE 802,-27.298117,153.035287,2004-11-12,0.2,11.6,0.7,0.5,0.031,0.401,0.068,6.6,94.3,8.3,6.6,0.1,0.16,25.9,40.5,25.7,11.0
NTH PINE RIVER 7.2km FROM MOUTH JCN WITH STH PINE RIVER (EHMP 803),-27.286379,153.014881,2004-11-12,0.2,6.3,0.7,0.83,0.22,0.34,0.27,5.1,70.6,7.69,7.4,0.26,0.31,19.0,30.6,26.11,12.0
NTH PINE RIVER 10.5km from mouth above Junction Yebri Creek (EHMP 804),-27.268849,152.991863,2004-11-12,0.2,2.5,0.5,1,0.39,0.26,0.35,3.4,44.8,7.37,3.2,0.27,0.32,15.1,24.8,25.79,21.0
HAYS INLET HORNIBROOK HIGHWAY BRIDGE (EHMP) SITE 900,-27.264333,153.079957,2004-11-12,0.2,5.7,0.95,0.24,< 0.002,0.232,0.006,7.8,115.1,8.34,0.6,0.049,0.089,33.1,50.5,25.38,5.0
MORETON BAY GRID REFERENCE 080820 (088200) (EHMP) SITE 916,-27.27839,153.087709,2004-11-12,0.2,4.6,0.85,0.23,< 0.002,0.226,< 0.002,7.7,114.4,8.32,1.1,0.035,0.068,33.9,51.5,25.59,5.0
MORETON BAY GRID REFERENCE 100790 (105795) (107900) (EHMP) SITE 919,-27.306723,153.106036,2004-11-12,0.2,5.6,0.9,0.28,< 0.002,0.276,< 0.002,8.2,121.4,8.37,1.5,0.039,0.088,33.0,50.4,26.1,5.0
NORTH PINE RIVER GRID REF 062823 AT HORNIBROOK HY BR (00-030) (EHMP 800),-27.27751,153.063226,2004-12-13,0.2,2.7,1,0.29,0.008,0.28,< 0.002,7.6,112.8,8.23,2.5,0.038,0.066,30.7,47.2,27.03,3.0
NORTH PINE RIVER 2.4km FROM MOUTH AT DOHLES ROCKS (EHMP 801),-27.279375,153.040314,2004-12-13,0.2,4.4,0.95,0.33,0.005,0.323,< 0.002,7.4,109.7,8.22,2.5,0.045,0.078,30.3,46.7,26.64,8.0
NORTH PINE RIVER 5.5km FROM MOUTH 100m U/S OF DEEPWATER BEND (EHMP) SITE 802,-27.298117,153.035287,2004-12-13,0.2,15.8,0.3,0.54,0.043,0.44,0.057,7.2,105.3,8.14,3.2,0.084,0.14,27.1,42.2,27.45,10.0
NTH PINE RIVER 7.2km FROM MOUTH JCN WITH STH PINE RIVER (EHMP 803),-27.286379,153.014881,2004-12-13,0.2,14.2,0.6,0.85,0.24,0.4,0.21,4.6,63.6,7.61,3.9,0.2,0.25,17.3,28.1,27.28,14.0
NTH PINE RIVER 10.5km from mouth above Junction Yebri Creek (EHMP 804),-27.268849,152.991863,2004-12-13,0.2,7.2,0.8,1.1,0.31,0.49,0.3,3.8,53.0,7.46,2.7,0.28,0.34,12.8,21.3,28.57,12.0
HAYS INLET HORNIBROOK HIGHWAY BRIDGE (EHMP) SITE 900,-27.264333,153.079957,2004-12-13,0.2,4,1.5,0.27,< 0.002,0.266,< 0.002,7.2,107.1,8.24,0.8,0.04,0.062,30.1,46.3,26.85,2.0
MORETON BAY GRID REFERENCE 080820 (088200) (EHMP) SITE 916,-27.27839,153.087709,2004-12-13,0.2,2.4,1.5,0.29,< 0.002,0.286,< 0.002,7.2,107.9,8.27,1.4,0.037,0.058,30.2,46.5,27.36,1.0
MORETON BAY GRID REFERENCE 100790 (105795) (107900) (EHMP) SITE 919,-27.306723,153.106036,2004-12-13,0.2,2.5,1.6,0.32,0.003,0.315,< 0.002,7.4,110.5,8.28,0.5,0.033,0.06,30.4,46.8,27.15,1.0
NORTH PINE RIVER GRID REF 062823 AT HORNIBROOK HY BR (00-030) (EHMP 800),-27.27751,153.063226,2005-01-12,0.2,6.1,0.8,0.23,< 0.002,0.226,< 0.002,6.8,98.4,8.22,2.6,0.052,0.076,32.6,49.8,24.39,8.0
NORTH PINE RIVER 2.4km FROM MOUTH AT DOHLES ROCKS (EHMP 801),-27.279375,153.040314,2005-01-12,0.2,2.3,1,0.2,< 0.002,0.196,< 0.002,6.9,99.8,8.22,0.9,0.051,0.067,32.7,49.9,24.33,8.0
NORTH PINE RIVER 5.5km FROM MOUTH 100m U/S OF DEEPWATER BEND (EHMP) SITE 802,-27.298117,153.035287,2005-01-12,0.2,6.4,0.8,0.27,< 0.002,0.266,< 0.002,7.0,99.0,8.22,2.6,0.06,0.095,32.1,49.2,23.82,10.0
NTH PINE RIVER 7.2km FROM MOUTH JCN WITH STH PINE RIVER (EHMP 803),-27.286379,153.014881,2005-01-12,0.2,10.4,0.8,0.4,0.013,0.367,0.02,6.8,96.0,8.03,1.9,0.096,0.14,29.6,45.7,24.28,10.0
NTH PINE RIVER 10.5km from mouth above Junction Yebri Creek (EHMP 804),-27.268849,152.991863,2005-01-12,0.2,6,0.6,0.64,0.14,0.404,0.096,5.1,71.0,7.65,3.5,0.2,0.25,25.6,40.0,25.16,13.0
HAYS INLET HORNIBROOK HIGHWAY BRIDGE (EHMP) SITE 900,-27.264333,153.079957,2005-01-19,0.2,1.2,0.8,0.33,< 0.002,0.326,< 0.002,6.1,90.6,8.15,11.8,0.054,0.1,34.1,51.8,25.27,17.0
MORETON BAY GRID REFERENCE 080820 (088200) (EHMP) SITE 916,-27.27839,153.087709,2005-01-19,0.2,6,0.8,0.25,< 0.002,0.246,< 0.002,6.3,95.0,8.18,2.2,0.051,0.085,34.5,52.3,26.3,13.0
MORETON BAY GRID REFERENCE 100790 (105795) (107900) (EHMP) SITE 919,-27.306723,153.106036,2005-01-19,0.2,3.2,1,0.15,< 0.002,0.146,< 0.002,6.5,98.1,8.2,0.3,0.029,0.047,34.8,52.8,26.27,7.0
NORTH PINE RIVER GRID REF 062823 AT HORNIBROOK HY BR (00-030) (EHMP 800),-27.27751,153.063226,2005-02-07,0.2,2.6,1.3,0.22,< 0.002,0.216,< 0.002,6.4,100.8,8.14,1,0.041,0.066,34.1,51.8,29.58,5.0
NORTH PINE RIVER 2.4km FROM MOUTH AT DOHLES ROCKS (EHMP 801),-27.279375,153.040314,2005-02-07,0.2,4.4,1.2,0.24,< 0.002,0.236,< 0.002,6.1,96.3,8.11,1,0.05,0.078,33.7,51.4,29.51,7.0
NORTH PINE RIVER 5.5km FROM MOUTH 100m U/S OF DEEPWATER BEND (EHMP) SITE 802,-27.298117,153.035287,2005-02-07,0.2,6,0.7,0.33,0.002,0.326,< 0.002,5.8,91.0,8.02,2.3,0.082,0.13,31.6,48.5,30.07,15.0
NTH PINE RIVER 7.2km FROM MOUTH JCN WITH STH PINE RIVER (EHMP 803),-27.286379,153.014881,2005-02-07,0.2,18.2,0.65,0.55,0.004,0.543,0.003,6.5,100.1,7.86,4.6,0.22,0.32,24.4,38.3,30.94,14.0
NTH PINE RIVER 10.5km from mouth above Junction Yebri Creek (EHMP 804),-27.268849,152.991863,2005-02-07,0.2,25.1,0.5,0.62,0.004,0.593,0.023,5.5,82.6,7.65,3.8,0.28,0.36,21.5,34.3,30.59,19.0
HAYS INLET HORNIBROOK HIGHWAY BRIDGE (EHMP) SITE 900,-27.264333,153.079957,2005-02-07,0.2,3,1.3,0.21,< 0.002,0.206,< 0.002,5.8,92.8,8.14,0.6,0.041,0.11,34.3,52.1,29.57,4.0
MORETON BAY GRID REFERENCE 080820 (088200) (EHMP) SITE 916,-27.27839,153.087709,2005-02-07,0.2,1.7,1.6,0.2,< 0.002,0.196,< 0.002,6.0,96.3,8.17,0.2,0.039,0.063,34.4,52.2,29.97,3.0
MORETON BAY GRID REFERENCE 100790 (105795) (107900) (EHMP) SITE 919,-27.306723,153.106036,2005-02-07,0.2,1.6,1.8,0.18,< 0.002,0.176,< 0.002,6.2,97.7,8.16,0.3,0.034,0.053,34.8,52.7,29.33,3.0
NORTH PINE RIVER GRID REF 062823 AT HORNIBROOK HY BR (00-030) (EHMP 800),-27.27751,153.063226,2005-03-14,0.2,2.1,1,0.28,< 0.002,0.276,< 0.002,6.5,98.0,8.17,3.4,0.058,0.089,36.0,54.4,25.96,9.0
NORTH PINE RIVER 2.4km FROM MOUTH AT DOHLES ROCKS (EHMP 801),-27.279375,153.040314,2005-03-14,0.2,6.5,0.9,0.29,< 0.002,0.286,< 0.002,6.6,98.8,8.07,1.2,0.078,0.12,35.8,54.1,25.77,6.0
NORTH PINE RIVER 5.5km FROM MOUTH 100m U/S OF DEEPWATER BEND (EHMP) SITE 802,-27.298117,153.035287,2005-03-14,0.2,7.5,0.9,0.32,< 0.002,0.316,< 0.002,6.4,95.7,8.02,1.5,0.084,0.13,35.5,53.7,25.68,8.0
NTH PINE RIVER 7.2km FROM MOUTH JCN WITH STH PINE RIVER (EHMP 803),-27.286379,153.014881,2005-03-14,0.2,22.6,0.7,0.52,< 0.002,0.516,< 0.002,6.0,89.3,7.9,5.2,0.15,0.22,32.6,49.8,26.7,7.0
NTH PINE RIVER 10.5km from mouth above Junction Yebri Creek (EHMP 804),-27.268849,152.991863,2005-03-14,0.2,17.3,0.7,0.8,0.083,0.527,0.19,5.4,80.2,7.59,6,0.39,0.47,29.5,45.5,27.13,12.0
MORETON BAY GRID REFERENCE 100790 (105795) (107900) (EHMP) SITE 919,-27.306723,153.106036,2005-03-14,0.2,1.7,0.5,0.16,< 0.002,0.156,< 0.002,6.2,94.2,7.97,0.9,0.027,0.057,36.9,55.6,25.67,15.0
NORTH PINE RIVER GRID REF 062823 AT HORNIBROOK HY BR (00-030) (EHMP 800),-27.27751,153.063226,2005-04-12,0.2,3.3,1.2,0.24,0.01,0.228,< 0.002,7.3,107.2,8.23,2.2,0.061,0.092,34.4,52.3,24.54,8.0
NORTH PINE RIVER 2.4km FROM MOUTH AT DOHLES ROCKS (EHMP 801),-27.279375,153.040314,2005-04-12,0.2,3.5,1.2,0.26,< 0.002,0.256,< 0.002,7.3,105.0,8.19,4.6,0.07,0.11,34.1,51.8,24.16,8.0
NORTH PINE RIVER 5.5km FROM MOUTH 100m U/S OF DEEPWATER BEND (EHMP) SITE 802,-27.298117,153.035287,2005-04-12,0.2,21.6,1.1,0.47,0.007,0.426,0.037,7.3,104.8,7.93,2.9,0.14,0.19,31.5,48.2,24.71,9.0
NTH PINE RIVER 7.2km FROM MOUTH JCN WITH STH PINE RIVER (EHMP 803),-27.286379,153.014881,2005-04-12,0.2,26.6,0.8,0.62,0.053,0.499,0.068,8.0,114.9,7.92,3.2,0.18,0.25,30.4,46.8,25.24,9.0
NTH PINE RIVER 10.5km from mouth above Junction Yebri Creek (EHMP 804),-27.268849,152.991863,2005-04-12,0.2,10.3,0.9,0.91,0.35,0.39,0.17,4.7,66.5,7.41,3.1,0.3,0.36,24.6,38.6,25.53,10.0
HAYS INLET HORNIBROOK HIGHWAY BRIDGE (EHMP) SITE 900,-27.264333,153.079957,2005-04-12,0.2,3.2,1,0.21,< 0.002,0.206,< 0.002,7.0,102.4,8.24,1.1,0.055,0.075,34.9,52.9,24.41,9.0
